Name,Domisili,Usia,Gender
Abdoul,Bali,12,Pria
Ade,Jawa Barat,42,Wanita
Adegoke,Luar Indonesia,41,Pria
Axzab,Jakarta,24,Wanita
Bluaxia,Jawa Barat,11,Wanita
Boubacar,Bali,31,Wanita
Bzayan,Jawa Barat,18,Wanita
Chi,Bali,32,Pria
Chinweuba,Bali,24,Wanita
Chuo,Bali,17,Wanita
Cuphulien,Jawa Barat,42,Wanita
Dejen,Jakarta,36,Pria
Doux,Luar Indonesia,18,Wanita
Dubaku,Bali,28,Pria
Ekyboo,Jawa Barat,17,Wanita
Eniola,Jawa Barat,23,Wanita
Evii,Jawa Barat,19,Pria
Ezii,Jakarta,23,Wanita
Gaggada,Jawa Barat,32,Wanita
Ganizani,Luar Indonesia,33,Wanita
Gar,Bali,39,Wanita
Glite,Luar Indonesia,30,Wanita
Gnuci,Jawa Barat,22,Wanita
Hoosnestrond,Jakarta,11,Wanita
Idoob,Bali,41,Wanita
Ixoim,Jawa Barat,38,Wanita
Jeingzou,Jakarta,19,Wanita
Kamau,Bali,27,Wanita
Kayin,Jawa Barat,31,Wanita
Khimma,Jakarta,36,Wanita
Kunju,Bali,14,Wanita
Meefgaib,Jawa Barat,16,Wanita
Moes,Jakarta,37,Pria
Mudiwa,Bali,31,Wanita
Mygneo,Luar Indonesia,34,Pria
Nah,Jakarta,23,Wanita
Noshom,Jawa Barat,27,Wanita
Okafor,Jakarta,16,Pria
Olabode,Jawa Barat,37,Pria
Oozu,Jawa Barat,17,Wanita
Ousmane,Luar Indonesia,20,Pria
Qayug,Luar Indonesia,24,Wanita
Saazteec,Luar Indonesia,28,Wanita
Safluvis,Jakarta,27,Pria
Shashou,Jakarta,44,Wanita
Taurai,Jakarta,35,Wanita
Tepmuvapp,Jawa Barat,27,Wanita
Thauzhash,Bali,45,Wanita
Thokozani,Luar Indonesia,36,Pria
Tichaona,Luar Indonesia,29,Pria
Ufuoma,Bali,48,Pria
Usah,Luar Indonesia,33,Wanita
Wevishar,Jakarta,41,Wanita
Wiati,Jakarta,47,Wanita
Yinoh,Bali,39,Wanita
